budget,base_seed,category,num_examples,num_correct,accuracy
16,440826,av,146,70,0.4794520547945205
16,440826,household,122,67,0.5491803278688525
16,440827,av,146,67,0.4589041095890411
16,440827,household,122,65,0.5327868852459017
16,440828,av,146,68,0.4657534246575342
16,440828,household,122,63,0.5163934426229508
16,440829,av,146,70,0.4794520547945205
16,440829,household,122,64,0.5245901639344263
16,440830,av,146,71,0.4863013698630137
16,440830,household,122,66,0.5409836065573771
16,440831,av,146,72,0.4931506849315068
16,440831,household,122,66,0.5409836065573771
24,440826,av,146,67,0.4589041095890411
24,440826,household,122,64,0.5245901639344263
24,440827,av,146,67,0.4589041095890411
24,440827,household,122,63,0.5163934426229508
24,440828,av,146,62,0.4246575342465753
24,440828,household,122,62,0.5081967213114754
32,440826,av,146,67,0.4589041095890411
32,440826,household,122,61,0.5
32,440827,av,146,74,0.5068493150684932
32,440827,household,122,59,0.48360655737704916
32,440828,av,146,76,0.5205479452054794
32,440828,household,122,58,0.47540983606557374
