budget,base_seed,continuation_seed,num_correct,question_micro_accuracy,macro_video_accuracy,invalid_predictions,checkpoint_sha256,results_sha256,summary_sha256
16,440826,540826,137,0.5111940298507462,0.5035381285381284,0,d008a458e62a15c69a236e4585a248b185343e82c2b6ece205d6638d4578b9ff,4496c3394b09c9511577592cfc20c250b38f9e5004c55f4e9858cf3e454509cf,a7810fbb73e33f8201908a86c0e40c6745376198f58c38d2594c2ae537984da7
16,440827,540827,132,0.4925373134328358,0.4752759145616288,0,669777ee6191c2a01ba1069f3492cb8e75aeaae307bdc5bf895ff13145c4f22a,0a04084a4c9bd7b2ed021992ec552917a82016fdb06a3604fee231ae1e50df0e,e881efc9e7bf3467331b4927da0d0c41c55667317ba17511e2737f1633dd0a73
16,440828,540828,131,0.48880597014925375,0.4850780172208743,0,83cdc62cda40d75d9dedf34134484715f38a984542d1e27e1dd78c9bcfa69596,2565826fcb85e71304f3d0c0ea5ce53ad3519aa9bdc6d06f2b806cf2029ae24e,50eabdb00f4f3808ebfbe84aa1d831669610f20b5c80bb3076fe6a9c960e43dd
16,440829,540829,134,0.5,0.5060736882165454,0,fe287cc2aaaf84153f277da87103b37c3c7949ce3f66c9ebbedfeeeebc37658d,1ccc58b463cf496609146bd326f12580ba0bfc865450f9676dfbf67ad27c64ca,00a2e6b526e51ddd608de7f804fd3d15dc7e4e4da332e8cc2f7c7497bc24434e
16,440830,540830,137,0.5111940298507462,0.5095987345987346,0,ec287894d2f77b8fcd6e6fa102460c7b4533a671942dd713506ca8abc6788180,6b5cac42146e3e94b883e6a8903c60c1aa395be83d27d098d73dbf450c65770e,79ddc5a0cd5387edfc7a40d128f887f502b40acb3d510688d49e3f993a387f94
16,440831,540831,138,0.5149253731343284,0.5196482089339233,0,1721a2175adc3fbf95e2ad293736e80345ac4c89f1d2e3c514f4acd5261a7781,5b2d86438a4d98fa2a0f15a6121163755b60e042f479521afffabb9967f759e0,90811e3bb03dcbf874de6f4db355ea28fc2dc1b14b6bc2420f3b01794d28cc5b
24,440826,540826,131,0.48880597014925375,0.49719922934208655,0,78a8b5386be199d43a4fb9bd7061f6077481d46b231d954bc6901859d697152b,b5243063b176133ce31c4bfbee38e67ad4be7b095637157ec2bf5825ade97e6b,b4fb0b1803a8cbcd11eebcc96f6af482ea3dbab18177c922a2f75cb6c2df13ba
24,440827,540827,130,0.48507462686567165,0.4915096807953951,0,54412e2ad43e0897790c4d0aecb7c4c12fbdc59f45472674aa9d1c3ed0f810ac,625193e4b4e835930ae57fb2adfb831bf477c10317b72beb01281a7b97d833a7,b05455c8c0ab43f180833d4071edac41401c047b76621da10d19528f0b09538d
24,440828,540828,124,0.4626865671641791,0.4596914989772133,0,3112c9c0760195f9c1346a5fd71589cbb6a524bdd01f2c99c201b6e71e6daab5,6eab5dc96a577492370318de995f0d9fd91e8d2d5ba066ae827c9116478a025a,255cf26f62a8d4dc64477d450dfac047c9df244c283ee6d6ccd421016087fbbd
32,440826,540826,128,0.47761194029850745,0.5009002901860046,0,01c7868690745b376a0b5211cca13133763d30392ec733e13822c9cb975315f8,cf3143ff9e6e20e77cd3ae761552cfd4fa2d82adb76367e3428a0d014ea748fe,af9f3cb597e16e4764ffd29b1d402f1ec08ed005130a92791d0b55880c7426b9
32,440827,540827,133,0.4962686567164179,0.5263486513486514,0,4d4b2ab6df9efe723eae12b0255158028b7cd2d76d397ff2b0fa111aa8dba508,69dfeee7b26fbf75eb0959233ca3a04fdd344f811a9886f3129155b157d8c7ad,5de455604533a5c1695324d3771cb4b0a5060c01d048e883082432d740f1285e
32,440828,540828,134,0.5,0.5288128538128538,0,a5d57aa099cf8382827d7fb4deb18eb471679fdcda01187c81c0dc672b3c99b8,591ddbfa37b1478d1c59c05ce5a88d2f448a7ea3579343e51543823024fb85ec,02201fa26bb73219f165a3f5db86d21ccc888247042a8ff416941e1fa0525265
