base_seed,mode,category,num_examples,num_correct,question_micro_accuracy
440826,variable,av,146,67,0.4589041095890411
440826,variable,household,122,65,0.5327868852459017
440826,forced_k16,av,146,70,0.4794520547945205
440826,forced_k16,household,122,67,0.5491803278688525
440827,variable,av,146,66,0.4520547945205479
440827,variable,household,122,64,0.5245901639344263
440827,forced_k16,av,146,71,0.4863013698630137
440827,forced_k16,household,122,64,0.5245901639344263
440828,variable,av,146,66,0.4520547945205479
440828,variable,household,122,61,0.5
440828,forced_k16,av,146,66,0.4520547945205479
440828,forced_k16,household,122,65,0.5327868852459017
