video_id,source,arm,protocol,repeat_index,frame_position,baseline_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes
AVAD/V39_Guitar4,AVAD,dense,batch16,0,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,1,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,2,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,3,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,4,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,5,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,6,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,7,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,8,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,dense,batch16,9,,105879552,165257216,59377664
AVAD/V39_Guitar4,AVAD,central_k16,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,central_k16,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090900,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090901,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090902,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090903,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090904,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090904,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090904,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,random_k16_seed2026090904,batch16,3,,105879552,115637760,9758208
