arm,group,label,source_macro_cls_cosine_distance,video_ci90_low,video_ci90_high,source_macro_cls_relative_l2,patch_embedding_flops,encoder_matmul_flops,matching_dot_product_flops,final_patch_tokens,encoder_and_matching_matmul_flops,videos,sources
dense,dense,Dense,4.253039757410685e-08,3.5700698693593345e-08,4.936009645462036e-08,0.0,115605504,9396209664,0,196,9396209664,12,6
central_k16,central_k16,Center K16,0.48120367030302685,0.45762717723846436,0.5057281851768494,0.9718255996704102,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090900,random,Random 2026090900,0.4770476520061493,0.4558510184288025,0.49870795011520386,0.9540949761867523,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090901,random,Random 2026090901,0.47845594336589176,0.4521542638540268,0.5056329457710186,0.956166629989942,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090902,random,Random 2026090902,0.4743700250983238,0.4479990204175313,0.5007410297791163,0.9520586828390757,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090903,random,Random 2026090903,0.4767264202237129,0.4518452286720276,0.5023664881785711,0.9536478668451309,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090904,random,Random 2026090904,0.4809699133038521,0.459819217522939,0.5022206902503967,0.9583619038263956,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090905,random,Random 2026090905,0.4902465020616849,0.46957099437713623,0.5121679057677587,0.9671349426110586,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090906,random,Random 2026090906,0.48547642429669696,0.45997464408477146,0.5109782045086225,0.9618476033210754,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090907,random,Random 2026090907,0.47938553988933563,0.4572035597016414,0.5022968823711077,0.9571962654590607,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090908,random,Random 2026090908,0.4782684842745463,0.45548655216892564,0.501351905365785,0.9560811767975489,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090909,random,Random 2026090909,0.47724322974681854,0.4561094517509143,0.4985433245698611,0.954473743836085,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090910,random,Random 2026090910,0.4785948221882184,0.45678893725077313,0.5011265302697817,0.9576039562622706,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090911,random,Random 2026090911,0.4811467130978902,0.4607256253560384,0.5018358131249746,0.9596897562344869,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090912,random,Random 2026090912,0.48389212290445965,0.46576985716819763,0.5022941753268242,0.9630907575289408,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090913,random,Random 2026090913,0.4841559703151385,0.4659810612599055,0.5027101983626684,0.9616843114296595,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090914,random,Random 2026090914,0.47829366475343704,0.45616703232129413,0.5008432467778524,0.9564506957928339,115605504,1015547904,0,16,1015547904,12,6
random_k16_seed2026090915,random,Random 2026090915,0.4788737470904986,0.4533051785081625,0.5048710430661837,0.9563475300868353,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440826,human,Human 440826,0.47057457516590756,0.44863098474840324,0.4933743824561437,0.9602999289830526,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440827,human,Human 440827,0.47118151436249417,0.4483039354284604,0.4945206018785633,0.961079940199852,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440828,human,Human 440828,0.46817216525475186,0.44533881545066833,0.49163954456647235,0.9575575937827429,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440829,human,Human 440829,0.46922437101602554,0.4468740373849869,0.4919729133447011,0.9585663924614588,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440830,human,Human 440830,0.46859731525182724,0.4452636445562045,0.4926673273245494,0.9588294923305511,115605504,1015547904,0,16,1015547904,12,6
policy:human_k16_seed440831,human,Human 440831,0.46851292500893277,0.4465208078424136,0.4914960782974957,0.9583877623081207,115605504,1015547904,0,16,1015547904,12,6
policy:pretrained_k16,pretrained,Pretrained K16,0.49195889259378117,0.45946215217312175,0.5256757090489069,0.966391478975614,115605504,1015547904,0,16,1015547904,12,6
tome_r5,tome,ToMe r=5,0.02037509499738614,0.018086908385157585,0.022566409471134346,0.19569688849151134,115605504,7902465024,11016832,136,7913481856,12,6
tome_r10,tome,ToMe r=10,0.07055327917138736,0.06446767474214236,0.07667731228284537,0.3633093299965064,115605504,6447581184,8091904,76,6455673088,12,6
tome_r15,tome,ToMe r=15,0.19350363314151764,0.18449959407250086,0.2025259186824163,0.6108741089701653,115605504,5031558144,5976192,16,5037534336,12,6
spatial_block_r15,spatial_block_r15,Temporary spatial r=15,0.008901591723163923,0.007695275979737441,0.01008878213663896,0.12770432916780314,115605504,8652201984,3354624,196,8655556608,12,6
