family,arm,source_macro_cls_cosine_distance
human,policy:human_k16_seed440826,0.47057457516590756
human,policy:human_k16_seed440827,0.47118151436249417
human,policy:human_k16_seed440828,0.46817216525475186
human,policy:human_k16_seed440829,0.46922437101602554
human,policy:human_k16_seed440830,0.46859731525182724
human,policy:human_k16_seed440831,0.46851292500893277
random,random_k16_seed2026090900,0.4770476520061493
random,random_k16_seed2026090901,0.47845594336589176
random,random_k16_seed2026090902,0.4743700250983238
random,random_k16_seed2026090903,0.4767264202237129
random,random_k16_seed2026090904,0.4809699133038521
random,random_k16_seed2026090905,0.4902465020616849
random,random_k16_seed2026090906,0.48547642429669696
random,random_k16_seed2026090907,0.47938553988933563
random,random_k16_seed2026090908,0.4782684842745463
random,random_k16_seed2026090909,0.47724322974681854
random,random_k16_seed2026090910,0.4785948221882184
random,random_k16_seed2026090911,0.4811467130978902
random,random_k16_seed2026090912,0.48389212290445965
random,random_k16_seed2026090913,0.4841559703151385
random,random_k16_seed2026090914,0.47829366475343704
random,random_k16_seed2026090915,0.4788737470904986
pretrained,policy:pretrained_k16,0.49195889259378117
central_k16,central_k16,0.48120367030302685
