policy,video_id,source,clip_index,frames,cold_first_batch,single_execution_seconds,attn_mode,generation_autocast,cuda_version,gpu_name,parameter_dtype,timing_scope
human_k16_seed440826,AVAD/V39_Guitar4,AVAD,0,16,True,0.37872112914919853,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,AVAD/V40_Guitar5,AVAD,1,16,False,0.3782560070976615,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.3782229917123914,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.3799265995621681,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,Coutrot_db2/clip12,Coutrot_db2,4,16,False,0.3784247413277626,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,Coutrot_db2/clip9,Coutrot_db2,5,16,False,0.3801277345046401,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,16,False,0.38473345153033733,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,DIEM/scottish_parliament_1152x864,DIEM,7,16,False,0.38446936197578907,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,ETMD_av/CRA_1_color,ETMD_av,8,16,False,0.39659719076007605,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,ETMD_av/CRA_2_color,ETMD_av,9,16,False,0.37873625010252,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,SumMe/Kids_playing_in_leaves,SumMe,10,16,False,0.39343936275690794,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440826,SumMe/Paintball,SumMe,11,16,False,0.3799075772985816,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,AVAD/V39_Guitar4,AVAD,0,16,True,0.3804777190089226,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,AVAD/V40_Guitar5,AVAD,1,16,False,0.37879131082445383,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.3761794622987509,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.3786264033988118,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
