protocol,group,video_id,source,endpoint_count,ms_per_frame
batch16,dense,AVAD/V39_Guitar4,AVAD,1,3.2054005714599043
batch16,dense,AVAD/V40_Guitar5,AVAD,1,3.226933680707589
batch16,dense,Coutrot_db1/clip21,Coutrot_db1,1,3.221321530872956
batch16,dense,Coutrot_db1/clip36,Coutrot_db1,1,3.2220200228039175
batch16,dense,Coutrot_db2/clip12,Coutrot_db2,1,3.2284789194818586
batch16,dense,Coutrot_db2/clip9,Coutrot_db2,1,3.2234370592050254
batch16,dense,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,1,3.2264583860524
batch16,dense,DIEM/scottish_parliament_1152x864,DIEM,1,3.2352775742765516
batch16,dense,ETMD_av/CRA_1_color,ETMD_av,1,3.239412122638896
batch16,dense,ETMD_av/CRA_2_color,ETMD_av,1,3.240753954742104
batch16,dense,SumMe/Kids_playing_in_leaves,SumMe,1,3.24000816908665
batch16,dense,SumMe/Paintball,SumMe,1,3.218585072318092
batch16,human,AVAD/V39_Guitar4,AVAD,6,8.059965829791812
batch16,human,AVAD/V40_Guitar5,AVAD,6,8.13050041809523
batch16,human,Coutrot_db1/clip21,Coutrot_db1,6,8.116085911751725
batch16,human,Coutrot_db1/clip36,Coutrot_db1,6,8.123819793884953
batch16,human,Coutrot_db2/clip12,Coutrot_db2,6,8.10694941416538
batch16,human,Coutrot_db2/clip9,Coutrot_db2,6,8.154003575327806
batch16,human,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,8.166334829487218
batch16,human,DIEM/scottish_parliament_1152x864,DIEM,6,8.139099183608778
batch16,human,ETMD_av/CRA_1_color,ETMD_av,6,8.1103719373156
batch16,human,ETMD_av/CRA_2_color,ETMD_av,6,8.125962083189128
batch16,human,SumMe/Kids_playing_in_leaves,SumMe,6,8.052885556632342
batch16,human,SumMe/Paintball,SumMe,6,8.096196703263558
batch16,random,AVAD/V39_Guitar4,AVAD,16,8.155251529387897
batch16,random,AVAD/V40_Guitar5,AVAD,16,8.106515717372531
