arm,block,attention_tokens,mlp_tokens,final_patch_tokens,restored_patches_after_each_block
dense,0,201,201,196,
dense,1,201,201,196,
dense,2,201,201,196,
dense,3,201,201,196,
dense,4,201,201,196,
dense,5,201,201,196,
dense,6,201,201,196,
dense,7,201,201,196,
dense,8,201,201,196,
dense,9,201,201,196,
dense,10,201,201,196,
dense,11,201,201,196,
central_k16,0,21,21,16,
central_k16,1,21,21,16,
central_k16,2,21,21,16,
central_k16,3,21,21,16,
central_k16,4,21,21,16,
central_k16,5,21,21,16,
central_k16,6,21,21,16,
central_k16,7,21,21,16,
central_k16,8,21,21,16,
central_k16,9,21,21,16,
central_k16,10,21,21,16,
central_k16,11,21,21,16,
random_k16_seed2026090900,0,21,21,16,
random_k16_seed2026090900,1,21,21,16,
random_k16_seed2026090900,2,21,21,16,
random_k16_seed2026090900,3,21,21,16,
random_k16_seed2026090900,4,21,21,16,
random_k16_seed2026090900,5,21,21,16,
random_k16_seed2026090900,6,21,21,16,
random_k16_seed2026090900,7,21,21,16,
random_k16_seed2026090900,8,21,21,16,
random_k16_seed2026090900,9,21,21,16,
random_k16_seed2026090900,10,21,21,16,
random_k16_seed2026090900,11,21,21,16,
random_k16_seed2026090901,0,21,21,16,
random_k16_seed2026090901,1,21,21,16,
random_k16_seed2026090901,2,21,21,16,
random_k16_seed2026090901,3,21,21,16,
random_k16_seed2026090901,4,21,21,16,
random_k16_seed2026090901,5,21,21,16,
random_k16_seed2026090901,6,21,21,16,
random_k16_seed2026090901,7,21,21,16,
random_k16_seed2026090901,8,21,21,16,
random_k16_seed2026090901,9,21,21,16,
random_k16_seed2026090901,10,21,21,16,
random_k16_seed2026090901,11,21,21,16,
random_k16_seed2026090902,0,21,21,16,
random_k16_seed2026090902,1,21,21,16,
random_k16_seed2026090902,2,21,21,16,
random_k16_seed2026090902,3,21,21,16,
random_k16_seed2026090902,4,21,21,16,
random_k16_seed2026090902,5,21,21,16,
random_k16_seed2026090902,6,21,21,16,
random_k16_seed2026090902,7,21,21,16,
random_k16_seed2026090902,8,21,21,16,
random_k16_seed2026090902,9,21,21,16,
random_k16_seed2026090902,10,21,21,16,
random_k16_seed2026090902,11,21,21,16,
random_k16_seed2026090903,0,21,21,16,
random_k16_seed2026090903,1,21,21,16,
random_k16_seed2026090903,2,21,21,16,
random_k16_seed2026090903,3,21,21,16,
random_k16_seed2026090903,4,21,21,16,
random_k16_seed2026090903,5,21,21,16,
random_k16_seed2026090903,6,21,21,16,
random_k16_seed2026090903,7,21,21,16,
random_k16_seed2026090903,8,21,21,16,
random_k16_seed2026090903,9,21,21,16,
random_k16_seed2026090903,10,21,21,16,
random_k16_seed2026090903,11,21,21,16,
random_k16_seed2026090904,0,21,21,16,
random_k16_seed2026090904,1,21,21,16,
random_k16_seed2026090904,2,21,21,16,
random_k16_seed2026090904,3,21,21,16,
random_k16_seed2026090904,4,21,21,16,
random_k16_seed2026090904,5,21,21,16,
random_k16_seed2026090904,6,21,21,16,
random_k16_seed2026090904,7,21,21,16,
random_k16_seed2026090904,8,21,21,16,
random_k16_seed2026090904,9,21,21,16,
random_k16_seed2026090904,10,21,21,16,
random_k16_seed2026090904,11,21,21,16,
random_k16_seed2026090905,0,21,21,16,
random_k16_seed2026090905,1,21,21,16,
random_k16_seed2026090905,2,21,21,16,
random_k16_seed2026090905,3,21,21,16,
random_k16_seed2026090905,4,21,21,16,
random_k16_seed2026090905,5,21,21,16,
random_k16_seed2026090905,6,21,21,16,
random_k16_seed2026090905,7,21,21,16,
random_k16_seed2026090905,8,21,21,16,
random_k16_seed2026090905,9,21,21,16,
random_k16_seed2026090905,10,21,21,16,
random_k16_seed2026090905,11,21,21,16,
random_k16_seed2026090906,0,21,21,16,
random_k16_seed2026090906,1,21,21,16,
random_k16_seed2026090906,2,21,21,16,
random_k16_seed2026090906,3,21,21,16,
random_k16_seed2026090906,4,21,21,16,
random_k16_seed2026090906,5,21,21,16,
random_k16_seed2026090906,6,21,21,16,
random_k16_seed2026090906,7,21,21,16,
random_k16_seed2026090906,8,21,21,16,
random_k16_seed2026090906,9,21,21,16,
random_k16_seed2026090906,10,21,21,16,
random_k16_seed2026090906,11,21,21,16,
random_k16_seed2026090907,0,21,21,16,
random_k16_seed2026090907,1,21,21,16,
random_k16_seed2026090907,2,21,21,16,
random_k16_seed2026090907,3,21,21,16,
random_k16_seed2026090907,4,21,21,16,
random_k16_seed2026090907,5,21,21,16,
