budget,base_seed,question_micro_accuracy,macro_video_accuracy,checkpoint_sha256
16,440826,0.5111940298507462,0.5035381285381284,d008a458e62a15c69a236e4585a248b185343e82c2b6ece205d6638d4578b9ff
16,440827,0.4925373134328358,0.4752759145616288,669777ee6191c2a01ba1069f3492cb8e75aeaae307bdc5bf895ff13145c4f22a
16,440828,0.48880597014925375,0.4850780172208743,83cdc62cda40d75d9dedf34134484715f38a984542d1e27e1dd78c9bcfa69596
16,440829,0.5,0.5060736882165454,fe287cc2aaaf84153f277da87103b37c3c7949ce3f66c9ebbedfeeeebc37658d
16,440830,0.5111940298507462,0.5095987345987346,ec287894d2f77b8fcd6e6fa102460c7b4533a671942dd713506ca8abc6788180
16,440831,0.5149253731343284,0.5196482089339233,1721a2175adc3fbf95e2ad293736e80345ac4c89f1d2e3c514f4acd5261a7781
24,440826,0.48880597014925375,0.49719922934208655,78a8b5386be199d43a4fb9bd7061f6077481d46b231d954bc6901859d697152b
24,440827,0.48507462686567165,0.4915096807953951,54412e2ad43e0897790c4d0aecb7c4c12fbdc59f45472674aa9d1c3ed0f810ac
24,440828,0.4626865671641791,0.4596914989772133,3112c9c0760195f9c1346a5fd71589cbb6a524bdd01f2c99c201b6e71e6daab5
32,440826,0.47761194029850745,0.5009002901860046,01c7868690745b376a0b5211cca13133763d30392ec733e13822c9cb975315f8
32,440827,0.4962686567164179,0.5263486513486514,4d4b2ab6df9efe723eae12b0255158028b7cd2d76d397ff2b0fa111aa8dba508
32,440828,0.5,0.5288128538128538,a5d57aa099cf8382827d7fb4deb18eb471679fdcda01187c81c0dc672b3c99b8
