JobID|JobIDRaw|JobName|State|ExitCode|Submit|Start|End|ElapsedRaw|NodeList|ReqMem|ReqCPUS|ReqTRES|AllocTRES|MaxRSS
1690935_0|1690936|gaze-r2f-hlvid|REQUEUED|0:0|2026-09-01T02:06:20|2026-09-01T02:06:21|2026-09-01T05:29:07|12166|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_0.batch|1690936.batch|batch|CANCELLED|0:15|2026-09-01T02:06:21|2026-09-01T02:06:21|2026-09-01T05:29:08|12167|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|83013256K
1690935_0.extern|1690936.extern|extern|COMPLETED|0:0|2026-09-01T02:06:21|2026-09-01T02:06:21|2026-09-01T05:29:08|12167|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_1|1694561|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-01T02:06:20|2026-09-04T02:14:35|2026-09-04T08:37:46|22991|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_1.batch|1694561.batch|batch|CANCELLED|0:15|2026-09-04T02:14:35|2026-09-04T02:14:35|2026-09-04T08:37:47|22992|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|96149240K
1690935_1.extern|1694561.extern|extern|COMPLETED|0:0|2026-09-04T02:14:35|2026-09-04T02:14:35|2026-09-04T08:37:47|22992|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_2|1694596|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-01T02:06:20|2026-09-04T02:39:35|2026-09-04T21:20:02|67227|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_2.batch|1694596.batch|batch|CANCELLED|0:15|2026-09-04T02:39:35|2026-09-04T02:39:35|2026-09-04T21:20:03|67228|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|129907896K
1690935_2.extern|1694596.extern|extern|COMPLETED|0:0|2026-09-04T02:39:35|2026-09-04T02:39:35|2026-09-04T21:20:03|67228|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_3|1694765|gaze-r2f-hlvid|COMPLETED|0:0|2026-09-01T02:06:20|2026-09-04T08:41:13|2026-09-05T02:22:52|63699|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_3.batch|1694765.batch|batch|COMPLETED|0:0|2026-09-04T08:41:13|2026-09-04T08:41:13|2026-09-05T02:22:52|63699|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|131296872K
1690935_3.extern|1694765.extern|extern|COMPLETED|0:0|2026-09-04T08:41:13|2026-09-04T08:41:13|2026-09-05T02:22:52|63699|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4|1700556|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-01T02:06:20|2026-09-08T23:29:35|2026-09-09T01:13:43|6248|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4.batch|1700556.batch|batch|CANCELLED|0:15|2026-09-08T23:29:35|2026-09-08T23:29:35|2026-09-09T01:13:44|6249|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|88452108K
1690935_4.extern|1700556.extern|extern|COMPLETED|0:0|2026-09-08T23:29:35|2026-09-08T23:29:35|2026-09-09T01:13:44|6249|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5|1690935|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-01T02:06:20|2026-09-08T23:29:35|2026-09-09T03:10:22|13247|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5.batch|1690935.batch|batch|CANCELLED|0:15|2026-09-08T23:29:35|2026-09-08T23:29:35|2026-09-09T03:10:23|13248|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|93231196K
1690935_5.extern|1690935.extern|extern|COMPLETED|0:0|2026-09-08T23:29:35|2026-09-08T23:29:35|2026-09-09T03:10:23|13248|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_0|1690936|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-01T05:29:25|2026-09-09T03:00:38|2026-09-09T08:02:42|18124|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_0.batch|1690936.batch|batch|CANCELLED|0:15|2026-09-09T03:00:38|2026-09-09T03:00:38|2026-09-09T08:02:43|18125|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|92078772K
1690935_0.extern|1690936.extern|extern|COMPLETED|0:0|2026-09-09T03:00:38|2026-09-09T03:00:38|2026-09-09T08:02:44|18126|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_1|1694561|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-04T08:38:03|2026-09-09T03:47:39|2026-09-09T08:03:42|15363|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_1.batch|1694561.batch|batch|CANCELLED|0:15|2026-09-09T03:47:39|2026-09-09T03:47:39|2026-09-09T08:03:43|15364|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|119273948K
1690935_1.extern|1694561.extern|extern|COMPLETED|0:0|2026-09-09T03:47:39|2026-09-09T03:47:39|2026-09-09T08:03:44|15365|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_2|1694596|gaze-r2f-hlvid|COMPLETED|0:0|2026-09-04T21:20:18|2026-09-11T07:03:46|2026-09-11T07:52:53|2947|node15|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_2.batch|1694596.batch|batch|COMPLETED|0:0|2026-09-11T07:03:46|2026-09-11T07:03:46|2026-09-11T07:52:53|2947|node15||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|90702340K
1690935_2.extern|1694596.extern|extern|COMPLETED|0:0|2026-09-11T07:03:46|2026-09-11T07:03:46|2026-09-11T07:52:53|2947|node15||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
