condition_id,label,family,information_inputs,candidate_grid_frames,max_tiles_video,cost_averaging_unit,question_count,video_count,category_counts,category_accuracy,question_micro_accuracy,video_macro_accuracy,video_macro_ci_lower,video_macro_ci_upper,mean_kept_frames,mean_kept_tiles,mean_visual_tokens,mean_proxy_seconds,mean_total_seconds,proxy_fraction_of_total,mean_proxy_candidate_scores,source_frame_count_mean,source_frame_count_min,source_frame_count_max,hardware,exposure_status,run_code_commit,source_path
fixed_uniform128,Uniform 128 (legacy),fixed_delta,none; uniform 128-point grid,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4726027397260274, ""household"": 0.5}",0.48507462686567165,0.5010334903192046,0.42881327006327,0.5734230650302079,128.0,,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_default_autogaze/results.jsonl
fixed_delta1,Fixed gap 1,fixed_delta,none; add gap 1 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4726027397260274, ""household"": 0.4918032786885246}",0.48134328358208955,0.4778982921840065,0.41370867228010083,0.5440145568716996,112.0,7.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_1/results.jsonl
fixed_delta2,Fixed gap 2,fixed_delta,none; add gap 2 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4520547945205479, ""household"": 0.5081967213114754}",0.47761194029850745,0.4699609913895628,0.40023155416012557,0.5382197564340422,112.0,7.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_2/results.jsonl
fixed_delta4,Fixed gap 4,fixed_delta,none; add gap 4 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4383561643835616, ""household"": 0.5491803278688525}",0.48880597014925375,0.4762594548308834,0.4071413110698825,0.5433926787498216,96.0,6.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_4/results.jsonl
fixed_delta8,Fixed gap 8,fixed_delta,none; add gap 8 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4863013698630137, ""household"": 0.45081967213114754}",0.4701492537313433,0.4592003234860378,0.3910343228200371,0.5279387279387279,80.0,5.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_8/results.jsonl
fixed_delta16,Fixed gap 16,fixed_delta,none; add gap 16 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4452054794520548, ""household"": 0.4918032786885246}",0.4664179104477612,0.4552792445649589,0.3878488178488178,0.5218979829694115,64.0,4.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_16/results.jsonl
fixed_delta32,Fixed gap 32,fixed_delta,none; add gap 32 after each 16-frame tile,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4589041095890411, ""household"": 0.4344262295081967}",0.44776119402985076,0.4353289567575282,0.37079515722372863,0.5022905665762808,48.0,3.0,,,,,,,,,,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_32/results.jsonl
uniform128,Uniform 128,uniform,none; uniform 128-point candidate grid,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4726027397260274, ""household"": 0.5}",0.48507462686567165,0.5010334903192046,0.42942878550021407,0.573875172446601,128.0,8.0,26363.350746268658,0.0,169.44885306311303,0.0,0.0,8792.481343283582,7194,9001,NVIDIA H100 NVL,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2_highres/s2_highres_uniform_128/results.jsonl
videomae128_t25,VideoMAE reconstruction,reconstruction_proxy,future candidate tiles scored by VideoMAE reconstruction error; threshold 2.5,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4520547945205479, ""household"": 0.4672131147540984}",0.458955223880597,0.4602171637885924,0.39024106845535417,0.5304236239950526,60.417910447761194,3.7761194029850746,14733.279850746268,7.636092333152626,61.586344761621476,0.12399002348181541,15.283582089552239,8792.481343283582,7194,9001,NVIDIA H100 NVL,test-exposed exploratory threshold,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2_highres_videomae_128_t25/results.jsonl
dino_novelty128,DINOv2 novelty,semantic_proxy,future candidate DINOv2 embeddings; novelty minus 0.01 log temporal cost,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4794520547945205, ""household"": 0.4918032786885246}",0.48507462686567165,0.510727367870225,0.44004091146948293,0.5799017649017649,58.26865671641791,3.6417910447761193,14672.652985074626,12.64417047126726,68.0901619361717,0.18569746512161353,16.15671641791045,8792.481343283582,7194,9001,NVIDIA H100 NVL,test-exposed exploratory setting,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/dinov2_semnovel_128_l001_log_mtv48/results.jsonl
dino_diversity128,DINOv2 diversity,semantic_proxy,future candidate DINOv2 embeddings; diversity minus 0.01 log temporal cost,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.5, ""household"": 0.48360655737704916}",0.4925373134328358,0.4900504257647115,0.42358962466105315,0.5568336425479282,66.44776119402985,4.152985074626866,16622.738805970148,10.96143662708867,54.59438387830325,0.20077956464391816,19.063432835820894,8792.481343283582,7194,9001,NVIDIA RTX PRO 6000 Blackwell,test-exposed exploratory setting,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/dinov2_semdiv_128_l001_log_mtv48/results.jsonl
question_relevance128,Question relevance,query_aware_semantic_proxy,question and choices plus future candidate semantic embeddings,128,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4726027397260274, ""household"": 0.5163934426229508}",0.4925373134328358,0.479388468674183,0.4136755506398363,0.5451893344750487,109.25373134328358,6.8283582089552235,23636.33582089552,17.104544778679386,122.77730777237647,0.13931356770251416,33.96641791044776,8792.481343283582,7194,9001,NVIDIA H100 NVL,test-exposed exploratory setting,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/question_relevance_128_l001_log_mtv48/results.jsonl
uniform256,Uniform 256,uniform,none; uniform 256-point candidate grid,256,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4863013698630137, ""household"": 0.5163934426229508}",0.5,0.5178761714476,0.4515592145949289,0.5823227962513676,256.0,16.0,44405.432835820895,0.0,221.05964121770648,0.0,0.0,8792.481343283582,7194,9001,NVIDIA H100 NVL,historical repeatedly exposed HLVid test,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2_highres/s2_highres_uniform_256/results.jsonl
pixel256_t002,Pixel MSE t=.02,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .02,256,48,question,268,77,"{""av"": 146, ""household"": 122}","{""av"": 0.4657534246575342, ""household"": 0.5}",0.48134328358208955,0.49448408734123017,0.42826161933304796,0.5605151990866275,239.9402985074627,14.996268656716419,42161.86567164179,29.163191069345817,324.9310262606796,0.08975194337382027,98.05223880597015,8792.481343283582,7194,9001,NVIDIA H100 NVL,test-exposed threshold sweep,,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2b_highres_pixel_mse_256_t002/results.jsonl
