method_id,selection_mechanism,information_inputs,actual_run_artifact,run_code_commit,population_model_protocol,candidate_grid_frames,max_tiles_video,cost_averaging_unit,mean_kept_frames,mean_visual_tokens,question_micro_accuracy,video_macro_accuracy,mean_total_seconds,mean_proxy_seconds,hardware,exposure_status,validity_limitations,supported_thesis_claim
fixed_uniform128,fixed_delta,none; uniform 128-point grid,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_default_autogaze/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,128.0,,0.48507462686567165,0.5010334903192046,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta1,fixed_delta,none; add gap 1 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_1/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,112.0,,0.48134328358208955,0.4778982921840065,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta2,fixed_delta,none; add gap 2 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_2/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,112.0,,0.47761194029850745,0.4699609913895628,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta4,fixed_delta,none; add gap 4 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_4/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,96.0,,0.48880597014925375,0.4762594548308834,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta8,fixed_delta,none; add gap 8 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_8/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,80.0,,0.4701492537313433,0.4592003234860378,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta16,fixed_delta,none; add gap 16 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_16/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,64.0,,0.4664179104477612,0.4552792445649589,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
fixed_delta32,fixed_delta,none; add gap 32 after each 16-frame tile,/home/stud/latn/AutoGaze/outputs/hlvid/nvila_fixed_delta/delta_32/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,48.0,,0.44776119402985076,0.4353289567575282,,,,historical repeatedly exposed HLVid test,"Early bundle omits exact code commit, token count, and timing.",Reference frame/accuracy curve.
uniform128,uniform,none; uniform 128-point candidate grid,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2_highres/s2_highres_uniform_128/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,128.0,26363.350746268658,0.48507462686567165,0.5010334903192046,169.44885306311303,0.0,NVIDIA H100 NVL,historical repeatedly exposed HLVid test,Early bundle omits exact run commit; timing mixes decode/cache states.,Reference frame/accuracy curve.
videomae128_t25,reconstruction_proxy,future candidate tiles scored by VideoMAE reconstruction error; threshold 2.5,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2_highres_videomae_128_t25/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,60.417910447761194,14733.279850746268,0.458955223880597,0.4602171637885924,61.586344761621476,7.636092333152626,NVIDIA H100 NVL,test-exposed exploratory threshold,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Proxy overhead/accuracy comparator evidence under one exposed setting.
dino_novelty128,semantic_proxy,future candidate DINOv2 embeddings; novelty minus 0.01 log temporal cost,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/dinov2_semnovel_128_l001_log_mtv48/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,58.26865671641791,14672.652985074626,0.48507462686567165,0.510727367870225,68.0901619361717,12.64417047126726,NVIDIA H100 NVL,test-exposed exploratory setting,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
