comparison_id,reference,candidate,reference_max_tiles_video,candidate_max_tiles_video,resolution_matched,estimate,lower,upper,ci_level,replicates,seed,unit,video_count,question_count,validity
fixed_delta1_vs_fixed_uniform128,fixed_uniform128,fixed_delta1,48,48,True,-0.023135198135198133,-0.07824675324675325,0.03181818181818181,0.9,10000,20260913,video,77,268,descriptive paired historical comparison
fixed_delta2_vs_fixed_uniform128,fixed_uniform128,fixed_delta2,48,48,True,-0.03107249892964178,-0.08625600589886304,0.021588173731030804,0.9,10000,20260914,video,77,268,descriptive paired historical comparison
fixed_delta4_vs_fixed_uniform128,fixed_uniform128,fixed_delta4,48,48,True,-0.024774035488321203,-0.08162058179915324,0.0306557727986299,0.9,10000,20260915,video,77,268,descriptive paired historical comparison
fixed_delta8_vs_fixed_uniform128,fixed_uniform128,fixed_delta8,48,48,True,-0.04183316683316683,-0.10201673326673324,0.016766983016983,0.9,10000,20260916,video,77,268,descriptive paired historical comparison
fixed_delta16_vs_fixed_uniform128,fixed_uniform128,fixed_delta16,48,48,True,-0.045754245754245755,-0.09437395937395938,-0.0012987012987012991,0.9,10000,20260917,video,77,268,descriptive paired historical comparison
fixed_delta32_vs_fixed_uniform128,fixed_uniform128,fixed_delta32,48,48,True,-0.06570453356167642,-0.12415180058037202,-0.009579170829170876,0.9,10000,20260918,video,77,268,descriptive paired historical comparison
videomae128_vs_uniform128,uniform128,videomae128_t25,48,48,True,-0.04081632653061224,-0.10887445887445887,0.023809523809523805,0.9,10000,20260919,video,77,268,same candidate grid; test-exposed setting
dino_novelty128_vs_uniform128,uniform128,dino_novelty128,48,48,True,0.009693877551020405,-0.045029375386518265,0.0630960111317254,0.9,10000,20260920,video,77,268,same candidate grid; test-exposed setting
dino_diversity128_vs_uniform128,uniform128,dino_diversity128,48,48,True,-0.010983064554493131,-0.06804606108177538,0.044490033775748054,0.9,10000,20260921,video,77,268,same candidate grid; different GPU makes timing incomparable
question_relevance128_vs_uniform128,uniform128,question_relevance128,48,48,True,-0.021645021645021648,-0.07424242424242425,0.02878787878787879,0.9,10000,20260922,video,77,268,same grid but query-aware information class
pixel002_vs_uniform256,uniform256,pixel256_t002,48,48,True,-0.02339208410636982,-0.05111317254174397,-0.0004329004329004328,0.9,10000,20260923,video,77,268,same candidate grid; exposed threshold sweep
pixel003_vs_uniform256,uniform256,pixel256_t003,48,48,True,0.007915893630179343,-0.025974025974025976,0.03896103896103896,0.9,10000,20260924,video,77,268,same candidate grid; exposed threshold sweep
pixel004_vs_uniform256,uniform256,pixel256_t004,48,48,True,0.019294990723562153,-0.017631416202844793,0.054610389610389554,0.9,10000,20260925,video,77,268,same candidate grid; best observed exposed threshold is not confirmation
pixel005_vs_uniform256,uniform256,pixel256_t005,48,48,True,-0.04267161410018553,-0.09091527520098952,0.002102659245516382,0.9,10000,20260926,video,77,268,same candidate grid; exposed threshold sweep
pixel006_vs_uniform256,uniform256,pixel256_t006,48,48,True,-0.0712430426716141,-0.12622448979591835,-0.019288806431663665,0.9,10000,20260927,video,77,268,same candidate grid; exposed threshold sweep
siglip256_vs_uniform256,uniform256,siglip256_t00125,48,48,True,-0.014935064935064937,-0.05822510822510823,0.02619047619047619,0.9,10000,20260928,video,77,268,same candidate grid; test-exposed setting
learned_vs_uniform128,uniform128,learned_dino_delta,48,1,False,-0.06641572713001286,-0.12816267066267067,-0.004120700727843597,0.9,10000,20260929,video,77,268,different frame budget and resolution: learned max_tiles_video=1 versus reference max_tiles_video=48; QA difference cannot isolate temporal policy
learned_vs_fixed_delta32,fixed_delta32,learned_dino_delta,48,1,False,-0.0007111935683364237,-0.025293753865182435,0.023809523809523808,0.9,10000,20260930,video,77,268,schedule diagnostic only: identical realized frame schedule but learned max_tiles_video=1 versus reference max_tiles_video=48; QA difference is resolution-confounded
